name,operator,operator_norm,lat,lon,v6_layer,confidence,promotion_action,promotion_note,source_category,n_sources,physical_facility,address,source,note,ADMIN,CONTINENT,ISO_A3,SUBREGION,_source_file,cluster_id,coord_confidence,facility_type,has_operator,in_both_sources,merge_distance_m,merge_matched_name,merge_status,name_normalized,operator_tier,osm_id,osm_type,provider,region_code,sources,status,wikidata_id,year
AWS Asia Pacific (Malaysia),AWS,AWS,3.139,101.687,v5.1,0.85,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Hyperscale Cloud,1,0.0,Address not publicly disclosed,,logical_region; 3 AZ(s) publicly disclosed; physical AZ-site discovery deferred (needs trade-press enrichment),Malaysia,Asia,MYS,South-Eastern Asia,,,source_native,cloud_region,True,False,,,,AWS Asia Pacific (Malaysia),,,,AWS,ap-southeast-5,Cloud Provider (AWS),,,
Alibaba Cloud Malaysia (Kuala Lumpur),Alibaba,Alibaba,3.142,101.69,v5.1,0.7167,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Hyperscale Cloud,1,0.0,Address not publicly disclosed,,logical_region; 3 AZ(s) publicly disclosed; physical AZ-site discovery deferred (needs trade-press enrichment),Malaysia,Asia,MYS,South-Eastern Asia,,,source_native,cloud_region,True,False,,,,Alibaba Cloud Malaysia (Kuala Lumpur),,,,Alibaba,ap-southeast-3,Cloud Provider (Alibaba),,,
Azure Malaysia West,Azure,Azure,3.139,101.687,v5.1,0.85,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Hyperscale Cloud,1,0.0,Address not publicly disclosed,,logical_region; 3 AZ(s) publicly disclosed; physical AZ-site discovery deferred (needs trade-press enrichment),Malaysia,Asia,MYS,South-Eastern Asia,,,source_native,cloud_region,True,False,,,,Azure Malaysia West,,,,Azure,malaysiawest,Cloud Provider (Azure),,,
Google Cloud asia-southeast3 (Malaysia),GCP,GCP,3.14,101.688,v5.1,0.85,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Hyperscale Cloud,1,0.0,Address not publicly disclosed,,logical_region; 3 AZ(s) publicly disclosed; physical AZ-site discovery deferred (needs trade-press enrichment),Malaysia,Asia,MYS,South-Eastern Asia,,,source_native,cloud_region,True,False,,,,Google Cloud asia-southeast3 (Malaysia),,,,GCP,asia-southeast3,Cloud Provider (GCP),,,
IRIX DC,,IRIX DC,1.7096888,110.3534142,v5.1,0.2833,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",OSM Only,1,1.0,"1438, Jln Sultan, 93050 Kuching, Sarawak, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,source_native,physical_facility,False,False,,,,IRIX Data Center,,13197364001.0,,,,OpenStreetMap,,,
Oracle Cloud Kuala Lumpur (kix),Oracle,Oracle,3.141,101.689,v5.1,0.85,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Hyperscale Cloud,1,0.0,Address not publicly disclosed,,logical_region; 1 AZ(s) publicly disclosed; physical AZ-site discovery deferred (needs trade-press enrichment),Malaysia,Asia,MYS,South-Eastern Asia,,,source_native,cloud_region,True,False,,,,Oracle Cloud Kuala Lumpur (kix),,,,Oracle,ap-kuala-lumpur-1,Cloud Provider (Oracle),,,
Bridge Data Centres MY02 (Cyberjaya),Bridge Data Centres,Bridge Data Centres,2.9171543,101.6619044,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"7118, Jalan Impact, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Bridge Data Centres MY02 (Cyberjaya),,,,,,Trade Press (NER extraction),Unknown,,2024.0
Bridge Data Centres (Johor),Bridge Data Centres,Bridge Data Centres,1.68,103.43,v5.1,0.4333,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"MCJJ+22 Kayu Ara Pasong, Johor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,manual_correction,physical_facility,True,False,,,,Bridge Data Centres (Johor),,,,,,Trade Press (NER extraction),Unknown,,2024.0
AIMS Bangunan AIMS / KL2 (Kuala Lumpur),AIMS,AIMS,3.1493525,101.7060731,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"Lot 17.01, 17th Floor, MCB Plaza 6, Changkat Raja Chulan, 50200, Kuala Lumpur, WP Kuala Lumpur, Bukit Ceylon, 50200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,AIMS Bangunan AIMS / KL2 (Kuala Lumpur),,,,,,Trade Press (NER extraction),Operational,,2024.0
AIMS Cyberjaya Block 2,AIMS,AIMS,2.938,101.657,v5.1,0.8667,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,2,1.0,"WMQ4+6Q Cyberjaya, Selangor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,manual_correction,physical_facility,True,False,,,,AIMS Cyberjaya Block 2,,,,,,Trade Press (NER extraction); OpenStreetMap,Unknown,,2025.0
NTT Gelang Patah Campus (Johor),NTT DATA,NTT DATA,1.4515013,103.5970167,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"Jalan Skudai - Gelang Patah, 81550 Gelang Patah, Johor Darul Ta'zim, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,NTT Gelang Patah Campus (Johor),,,,,,Trade Press (NER extraction),Under Construction,,2027.0
NTT Cyberjaya CBJ6,NTT DATA,NTT DATA,2.9272384,101.6588555,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"43000, Persiaran APEC, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,NTT Cyberjaya CBJ6,,,,,,Trade Press (NER extraction),Operational,,2024.0
"YTL Green Data Center Park (Kulai, Johor)",YTL Power,YTL Power,1.6205686,103.5215847,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"JGCC+6J Gunung Pulai Recreational Forest, Pekan Nanas, Johor Darul Ta'zim, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,"YTL Green Data Center Park (Kulai, Johor)",,,,,,Trade Press (NER extraction),Unknown,,2023.0
Telekom Malaysia KVDC (Cyberjaya),Telekom Malaysia,Telekom Malaysia,2.9320918,101.6570765,v5.1,0.8067,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,2,1.0,"Kompleks TM Cyberjaya, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Telekom Malaysia KVDC (Cyberjaya),,,,,,Trade Press (NER extraction); OpenStreetMap,Operational,,2019.0
Telekom Malaysia IPDC (Iskandar Puteri),Telekom Malaysia,Telekom Malaysia,1.4349479,103.5984284,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"CHPX+6G, Kampung Baharu, 81550 Gelang Patah, Johor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Telekom Malaysia IPDC (Iskandar Puteri),,,,,,Trade Press (NER extraction),Unknown,,2024.0
TM-Nxera JV Campus (Johor),TM / Nxera,Telekom Malaysia / Nxera,1.434379,103.620491,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"CJMC+Q5, 79100 Gelang Patah, Johor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,TM-Nxera JV Campus (Johor),,,,,,Trade Press (NER extraction),Unknown,,2024.0
Area Group Campus (Kedah),Area Group,Area Group,6.5058846,100.4250382,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"GC4G+92 Bukit Kayu Hitam, Kedah, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Area Group Campus (Kedah),,,,,,Trade Press (NER extraction),Under Construction,,2024.0
AirTrunk JHB1 (Johor),AirTrunk,AirTrunk,1.4798575,103.7642576,v5.1,0.8067,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"Chak number 483 jb tehsil shorkot district jhang, Taman Abad, 80300 Johor Bahru, Johor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,AirTrunk JHB1 (Johor),,,,,,Trade Press (NER extraction),Operational,,2024.0
AirTrunk JHB2 (Johor),AirTrunk,AirTrunk,1.43,103.6,v5.1,0.4333,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"CJJ2+22 Gelang Patah, Johor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,manual_correction,physical_facility,True,False,,,,AirTrunk JHB2 (Johor),,,,,,Trade Press (NER extraction),Planned,,2025.0
Vantage Cyberjaya Campus 2,Vantage Data Centers,Vantage Data Centers,2.9041534,101.6516027,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"15, Jalan Cyber Point 4, Cyber 8, 63000 Cyberjaya, Selangor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Vantage Cyberjaya Campus 2,,,,,,Trade Press (NER extraction),Under Construction,,2024.0
Vantage / Yondr Sedenak (Johor),Vantage / Yondr,Vantage / Yondr,1.6981517,103.4085948,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,6,1.0,"MCX5+7C Kayu Ara Pasong, Johor, Malaysia",,osm_way=1432337902@352m | osm_way=1432337903@439m | osm_way=1432337905@122m | osm_way=1432337910@421m | osm_way=1432337911@245m,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Vantage / Yondr Sedenak (Johor),,,,,,Trade Press (NER extraction),Under Development,,2025.0
DayOne (Johor),DayOne,DayOne,1.4343363,103.5996679,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"11, Jln Teknologi Perintis 1/2, Kampung Baharu, 81550 Gelang Patah, Johor Darul Ta'zim, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,DayOne (Johor),,,,,,Trade Press (NER extraction),Unknown,,
EdgeConneX Cyberjaya,EdgeConneX,EdgeConneX,2.921318,101.6559349,v5.1,0.8067,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"WMC4+G9 Cyberjaya, Selangor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,EdgeConneX Cyberjaya,,,,,,Trade Press (NER extraction),Unknown,,
EdgeConneX Johor,EdgeConneX,EdgeConneX,1.4798575,103.7642576,v5.1,0.8067,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"Chak number 483 jb tehsil shorkot district jhang, Taman Abad, 80300 Johor Bahru, Johor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,EdgeConneX Johor,,,,,,Trade Press (NER extraction),Unknown,,
EdgeConneX Bukit Jalil,EdgeConneX,EdgeConneX,3.0586745,101.6917068,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"Ppa1m, Bukit Jalil, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,EdgeConneX Bukit Jalil,,,,,,Trade Press (NER extraction),Unknown,,
Princeton Digital Group JH1 (Johor),Princeton Digital Group,Princeton Digital Group,1.6923009,103.4145192,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,3,1.0,"MCR7+WR Kayu Ara Pasong, Johor, Malaysia",,"osm_way=1432337899@239m || merged_from='Princeton Digital JH1 Campus (Sedenak)'@(1.6925127,103.4147133) src=Manual Curation [same-op coord-tight] [carries osm_way=1432337900@363m; osm_way=1432337901@262m]",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Princeton Digital Group JH1 (Johor),,,,,,Trade Press (NER extraction),Unknown,,
K2 Strategic Sedenak (Johor),K2 Strategic,K2 Strategic,1.7,103.4,v5.1,0.4333,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"P92X+2X Kayu Ara Pasong, Johor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,manual_correction,physical_facility,True,False,,,,K2 Strategic Sedenak (Johor),,,,,,Trade Press (NER extraction),Operational,,2024.0
"Open DC PE2 (Bayan Lepas, Penang)",Open DC,Open DC,5.2966983,100.2894956,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"Plot 18 & 19, Medan Bayan Lepas, Bayan Lepas Industrial Park, 11900 Bayan Lepas, Pulau Pinang, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,"Open DC PE2 (Bayan Lepas, Penang)",,,,,,Trade Press (NER extraction),Operational,,2025.0
"Empyrion Digital MY1 (Nusajaya, Johor)",Empyrion Digital,Empyrion Digital,1.4343363,103.5996679,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"11, Jln Teknologi Perintis 1/2, Kampung Baharu, 81550 Gelang Patah, Johor Darul Ta'zim, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,"Empyrion Digital MY1 (Nusajaya, Johor)",,,,,,Trade Press (NER extraction),Planned,,2025.0
Bytedance (Johor),Bytedance,Bytedance,1.9343998,103.3587288,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"W9M5+QF Renggam, Johor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Bytedance (Johor),,,,,,Trade Press (NER extraction),Unknown,,
Google Elmina Business Park (Selangor),Google,Google,3.2266053,101.5221802,v5.1,0.8067,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,2,1.0,"6GGC+JV Sungai Buloh, Selangor, Malaysia",,osm_way=1448536198@445m,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Google Elmina Business Park (Selangor),,,,,,Trade Press (NER extraction),Unknown,,
Equinix KL1 (Cyberjaya),Equinix,Equinix,2.90443,101.6509691,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"900 cabinets, 2630 sqm; No 2 Jalan Cyber Point 4; opened 2024; Equinix press release",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Equinix KL1 (Cyberjaya),,,,,,Manual Curation (public sources),Operational,,2024.0
"Equinix JH1 (Iskandar Puteri, Johor)",Equinix,Equinix,1.4327058,103.5981429,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"500 cabinets, 1800 sqm; Nusajaya Tech Park NTP; $40M investment; opened 2024; Equinix blog",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,"Equinix JH1 (Iskandar Puteri, Johor)",,,,,,Manual Curation (public sources),Operational,,2024.0
GDS Nusajaya NTP1 (Johor),GDS / DayOne,GDS / DayOne,1.4343363,103.5996679,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),Phase 1 building; 69.5MW total across NTP1-3; Nusajaya Tech Park; launched 2023; GDS press release,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,GDS Nusajaya NTP1 (Johor),,,,,,Manual Curation (public sources),Operational,,2023.0
GDS Nusajaya NTP2 (Johor),GDS / DayOne,GDS / DayOne,1.4353363,103.5996679,v5.1,0.88,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),Phase 1 building; part of 69.5MW NTP campus; Nusajaya Tech Park; campus offset +0.001 lat; GDS press release,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded_with_campus_offset,physical_facility,True,False,,,,GDS Nusajaya NTP2 (Johor),,,,,,Manual Curation (public sources),Operational,,
GDS Nusajaya NTP3 (Johor),GDS / DayOne,GDS / DayOne,1.4363363,103.5996679,v5.1,0.88,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),Phase 1 building; part of 69.5MW NTP campus; Nusajaya Tech Park; campus offset +0.002 lat; GDS press release,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded_with_campus_offset,physical_facility,True,False,,,,GDS Nusajaya NTP3 (Johor),,,,,,Manual Curation (public sources),Operational,,
GDS Kempas Lama (Johor),GDS / DayOne,GDS / DayOne,1.543196,103.6965002,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"New campus; Kempas Lama, Johor; Baxtel",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,GDS Kempas Lama (Johor),,,,,,Manual Curation (public sources),Under Construction,,
STT Cyberjaya DC.2,STT GDC / Basis Bay,STT GDC / Basis Bay,2.921318,101.6559349,v5.1,0.8067,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),JV with Basis Bay; ~20MW across 2 buildings; LEED Gold target; STT GDC press release Nov 2023,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,STT Cyberjaya DC.2,,,,,,Manual Curation (public sources),Under Construction,,2023.0
