name,operator,lat,lon,sources,osm_id,wikidata_id,provider,region_code,facility_type,n_sources,ADMIN,ISO_A3,CONTINENT,SUBREGION,name_normalized,has_operator,in_both_sources,source_category,operator_norm,status,year,coord_confidence,cluster_id,address,source,note,osm_type,merge_status,merge_matched_name,merge_distance_m
Bridge Data Centres facility (Johor),Bridge Data Centres,1.4854,103.7618,MIDA Press Release,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,bridge data centres facility johor,True,False,MIDA Press Release,Bridge Data Centres,,2026,geocoded_with_campus_offset,,Johor,https://www.mida.gov.my/media-release/bridge-data-centres-and-bytedance-celebrate-grand-opening-of-the-first-phase-hyperscale-data-centre-my06-in-johor-malaysia/,"operators=Bridge Data Centres, Bytedance, Google | locations=Johor, Kuala Lumpur, Sedenak | capex=RM70 billion | mw=110MW, 100 MW | published=20 October 2022 | title=Bridge Data Centres And Bytedance Celebrate Grand Opening Of The First Phase Hyperscale Data Centre (My06) In Johor, Malaysia - MIDA | Malaysian Investment Development Authority",,new,,
Infinaxis facility (Cyberjaya),Infinaxis,2.9188,101.6521,MIDA Press Release,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,infinaxis facility cyberjaya,True,False,MIDA Press Release,Infinaxis,,2026,geocoded_with_campus_offset,,Cyberjaya,https://www.mida.gov.my/media-release/gaw-capital-partners-and-a3-capital-jointly-form-a-jv-platform-with-the-launch-of-the-first-infinaxis-data-centre-in-malaysia/,"operators=Infinaxis, Google | locations=Cyberjaya, Kuala Lumpur | capex=USD1.3 billion, US$33.6 billion, US$4bn | mw=12 MW | published=23 February 2023 | title=Gaw Capital Partners and A3 Capital Jointly Form a JV Platform with the Launch of the first Infinaxis Data Centre in Malaysia - MIDA | Malaysian Investment Development Authority",,new,,
AWS facility (Kuala Lumpur),AWS,3.139,101.6869,MIDA Press Release,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,aws facility kuala lumpur,True,False,MIDA Press Release,AWS,,2027,geocoded_with_campus_offset,,Kuala Lumpur,https://www.mida.gov.my/media-release/amazon-web-services-aws-announces-rm25-5-billion-investment-to-launch-an-aws-cloud-computing-infrastructure-in-malaysia/,"operators=AWS, Google | locations=Kuala Lumpur | capex=RM25.5 Billion, RM25.5 Billion, RM25.5 Billion | published=2 March 2023 | title=Amazon Web Services (AWS) Announces RM25.5 Billion Investment to Launch an AWS Cloud Computing Infrastructure In Malaysia - MIDA | Malaysian Investment Development Authority || operators=AWS, Google | locations=Kuala Lumpur | capex=US$8.8 billion, US$8.5 billion, US$17.6 billion | published=2025-01-06 | title=AWS sees strong growth in Asean cloud services market - MIDA | Malaysian Investment Development Authority",,duplicate_proximity,AWS Asia Pacific (Malaysia),11.1
Microsoft facility (Kuala Lumpur),Microsoft,3.139,101.6869,MIDA Press Release,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,microsoft facility kuala lumpur,True,False,MIDA Press Release,Microsoft,,2026,geocoded_with_campus_offset,,Kuala Lumpur,https://www.mida.gov.my/media-release/mida-applauds-microsofts-establishment-of-cutting-edge-cloud-and-ai-infrastructure-propelling-malaysia-ahead-of-the-curve-in-digital-transformation/,"operators=Microsoft, Google | locations=Kuala Lumpur | capex=US$2.2 billion, RM144.7 billion, RM114.7 billion | published=2 May 2024 | title=MIDA Applauds Microsoft’s Establishment of Cutting-Edge Cloud and AI Infrastructure, Propelling Malaysia Ahead of The Curve in Digital Transformation - MIDA | Malaysian Investment Development Authority",,duplicate_proximity,AWS Asia Pacific (Malaysia),11.1
Telekom Malaysia facility (Klang),Telekom Malaysia,3.0446,101.445,MIDA Press Release,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,telekom malaysia facility klang,True,False,MIDA Press Release,Telekom Malaysia,,2026,geocoded_with_campus_offset,,Klang,https://www.mida.gov.my/mida-news/telekom-malaysia-said-to-be-exploring-plans-to-build-new-hyperscale-data-centre/,"operators=Telekom Malaysia, Google | locations=Klang, Iskandar Puteri, Iskandar | capex=RM2.53 billion, RM22.87 billion | mw=40 Megawatts | published=2024-02-08 | title=Telekom Malaysia said to be exploring plans to build new hyperscale data centre - MIDA | Malaysian Investment Development Authority",,new,,
Bridge Data Centres facility (Kuala Lumpur),Bridge Data Centres,3.139,101.6869,MIDA Press Release,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,bridge data centres facility kuala lumpur,True,False,MIDA Press Release,Bridge Data Centres,,2026,geocoded_with_campus_offset,,Kuala Lumpur,https://www.mida.gov.my/mida-news/mah-sing-partners-bridge-data-centres-to-launch-mah-sing-dc-hubsouthville-city/,"operators=Bridge Data Centres, Google, Telekom Malaysia | locations=Kuala Lumpur, Selangor | mw=500 megawatts, 100MW | published=30 May 2024 | title=Mah Sing partners bridge data centres to launch Mah Sing DC Hub@Southville City - MIDA | Malaysian Investment Development Authority",,duplicate_proximity,AWS Asia Pacific (Malaysia),11.1
Google facility (Cyberjaya),Google,2.9188,101.6521,MIDA Press Release,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,google facility cyberjaya,True,False,MIDA Press Release,Google,,2026,geocoded_with_campus_offset,,Cyberjaya,https://www.mida.gov.my/mida-news/google-to-invest-rm9-4-bln-in-malaysia-develop-data-centre-cloud-region/,"operators=Google | locations=Cyberjaya, Kuala Lumpur | capex=US$2 billion, RM9.4 billion, US$3.2 billion | published=30 May 2024 | title=Google to invest RM9.4 bln in Malaysia, develop data centre, cloud region - MIDA | Malaysian Investment Development Authority",,new,,
Equinix facility (Cyberjaya),Equinix,2.9188,101.6521,MIDA Press Release,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,equinix facility cyberjaya,True,False,MIDA Press Release,Equinix,,2028,geocoded_with_campus_offset,,Cyberjaya,https://www.mida.gov.my/mida-news/equinix-continues-expansion-plan-unveils-new-data-centre/,"operators=Equinix, Google | locations=Cyberjaya, Kuala Lumpur, Nusajaya, Iskandar Puteri, Iskandar, Johor | capex=US$40 million, RM188 million, US$6.2 billion | published=2024-07-07 | title=Equinix continues expansion plan, unveils new data centre - MIDA | Malaysian Investment Development Authority || operators=Equinix, Google | locations=Cyberjaya, Johor, Selangor | capex=RM23m, RM23m, RM23m | published=2024-08-06 | title=US data centre firm Equinix invests RM23m to expand capacity in Malaysia - MIDA | Malaysian Investment Development Authority",,new,,
Bridge Data Centres facility (Cyberjaya),Bridge Data Centres,2.9188,101.6521,MIDA Press Release,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,bridge data centres facility cyberjaya,True,False,MIDA Press Release,Bridge Data Centres,,2026,geocoded_with_campus_offset,,Cyberjaya,https://www.mida.gov.my/mida-news/mah-sing-launches-mah-sing-dc-hub-southville-city-with-bridge-data-centres/,"operators=Bridge Data Centres, Google, Telekom Malaysia | locations=Cyberjaya, Kuala Lumpur, Sepang, Selangor | mw=500MW, 100MW | published=2024-07-07 | title=Mah Sing launches Mah Sing DC Hub@ Southville City with Bridge Data Centres - MIDA | Malaysian Investment Development Authority",,new,,
AirTrunk facility (Johor),AirTrunk,1.4854,103.7618,MIDA Press Release,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,airtrunk facility johor,True,False,MIDA Press Release,AirTrunk,,2026,geocoded_with_campus_offset,,Johor,https://www.mida.gov.my/mida-news/sydney-based-airtrunk-opens-data-centre-in-johor/,"operators=AirTrunk, Equinix, Google | locations=Johor, Nusajaya, Johor Bahru | capex=RM144 billion, RM90 billion | mw=50 MW | published=2024-08-06 | title=Sydney-based AirTrunk opens data centre in Johor - MIDA | Malaysian Investment Development Authority || operators=AirTrunk, Google | locations=Johor, Iskandar Puteri, Iskandar | capex=RM9.7 billion, $3.5 billion | mw=270 megawatts, 150MW, 420MW | published=2025-03-24 | title=AirTrunk to build second data centre in Johor, combined cost of two facilities at RM9.7bil - MIDA | Malaysian Investment Development Authority",,new,,
Google facility (Selangor),Google,3.0738,101.5183,MIDA Press Release,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,google facility selangor,True,False,MIDA Press Release,Google,,2026,geocoded_with_campus_offset,,Selangor,https://www.mida.gov.my/mida-news/googles-malaysia-data-centre-sets-new-standard-for-power-water-usage-efficiency/,"operators=Google | locations=Selangor | capex=RM123.5 billion, US$2 billion, US$3.2 billion | published=2024-10-13 | title=Google’s Malaysia data centre sets new standard for power, water usage efficiency - MIDA | Malaysian Investment Development Authority",,new,,
