name,operator,lat,lon,sources,osm_id,wikidata_id,provider,region_code,facility_type,n_sources,ADMIN,ISO_A3,CONTINENT,SUBREGION,name_normalized,has_operator,in_both_sources,source_category,operator_norm,status,year,coord_confidence,cluster_id,address,source,note,osm_type,merge_status,merge_matched_name,merge_distance_m,confidence,operator_tier,_source_file
Telekom Malaysia facility (Klang),Telekom Malaysia,3.0446,101.445,MIDA Press Release,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,telekom malaysia facility klang,True,False,MIDA Press Release,Telekom Malaysia,,2026.0,geocoded_with_campus_offset,,Klang,https://www.mida.gov.my/mida-news/telekom-malaysia-said-to-be-exploring-plans-to-build-new-hyperscale-data-centre/,"operators=Telekom Malaysia, Google | locations=Klang, Iskandar Puteri, Iskandar | capex=RM2.53 billion, RM22.87 billion | mw=40 Megawatts | published=2024-02-08 | title=Telekom Malaysia said to be exploring plans to build new hyperscale data centre - MIDA | Malaysian Investment Development Authority",,new,,,0.3133,sovereign_telco,mida_candidates.csv
Google facility (Petaling Jaya),Google,3.1073,101.6067,Gamuda Press Release,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,google facility petaling jaya,True,False,Gamuda Press Release,Google,,2026.0,geocoded_with_campus_offset,,Petaling Jaya,https://gamuda.com/2024/12/gamuda-to-acquire-20-stake-in-google-cloud-partner-for-rm18-million/press-releases/,"operators=Google | locations=Petaling Jaya, Penang | capex=RM18 million, RM18 million, RM18 million | published=10 December 2024 | title=Gamuda to acquire 20% stake in Google Cloud partner for RM18 million | Gamuda Berhad",,new,,,0.3133,hyperscaler,operator_ir_candidates.csv
JARING Bukit Jalil,Data Center Facility,3.046839,101.688963,PeeringDB fac 610,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,jaring bukit jalil,True,False,PeeringDB,Data Center Facility,,,source_native,,"Technology Park Malaysia, Kuala Lumpur, 57000",https://www.peeringdb.com/fac/610,pdb_id=610 | clli= | region=Asia Pacific | status=ok,,new,,,0.2833,tier2_colo,peeringdb_candidates.csv
NTT Cyberjaya Data Center (CBJ),NTT DATA's Global Data Centers division,,,PeeringDB fac 1902,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,ntt cyberjaya data center cbj,True,False,PeeringDB,NTT DATA's Global Data Centers division,,,,,"43000 Jalan APEC, Cyberjaya, 63000",https://www.peeringdb.com/fac/1902,pdb_id=1902 | clli= | region=Asia Pacific | status=ok,,new,,,0.2233,tier1_colo,peeringdb_candidates.csv
AIMS CJ1 Cyberjaya,AIMS Data Centre Sdn Bhd,,,PeeringDB fac 3168,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,aims cj1 cyberjaya,True,False,PeeringDB,AIMS Data Centre Sdn Bhd,,,,,"Jalan Cyber Point 4, Cyberjaya, 63000",https://www.peeringdb.com/fac/3168,pdb_id=3168 | clli= | region=Asia Pacific | status=ok,,new,,,0.2233,tier2_colo,peeringdb_candidates.csv
CX5 / MY02 Cyberjaya Malaysia,Bridge Data Centres,2.914565,101.649916,PeeringDB fac 4712,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,cx5 my02 cyberjaya malaysia,True,False,PeeringDB,Bridge Data Centres,,,source_native,,"MY02, Cyberjaya, 63000",https://www.peeringdb.com/fac/4712,pdb_id=4712 | clli= | region=Asia Pacific | status=ok,,new,,,0.2833,tier1_colo,peeringdb_candidates.csv
"TM ONE Brickfields City DC, Kuala Lumpur",Telekom Malaysia Berhad (TM),,,PeeringDB fac 5644,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,tm one brickfields city dc kuala lumpur,True,False,PeeringDB,Telekom Malaysia Berhad (TM),,,,,"Jalan Tun Sambathan, Brickfields, 50470",https://www.peeringdb.com/fac/5644,pdb_id=5644 | clli= | region=Asia Pacific | status=ok,,new,,,0.2233,sovereign_telco,peeringdb_candidates.csv
"TM ONE, Plaza VADS",Telekom Malaysia Berhad (TM),3.139446,101.630177,PeeringDB fac 5654,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,tm one plaza vads,True,False,PeeringDB,Telekom Malaysia Berhad (TM),,,source_native,,"Plaza VADS, Kuala Lumpur, 60000",https://www.peeringdb.com/fac/5654,pdb_id=5654 | clli= | region=Asia Pacific | status=ok,,new,,,0.2833,sovereign_telco,peeringdb_candidates.csv
"TM ONE KVDC, Cyberjaya",Telekom Malaysia Berhad (TM),,,PeeringDB fac 5655,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,tm one kvdc cyberjaya,True,False,PeeringDB,Telekom Malaysia Berhad (TM),,,,,"Lingkaran Teknokrat Timur, Cyberjaya, 63000",https://www.peeringdb.com/fac/5655,pdb_id=5655 | clli= | region=Asia Pacific | status=ok,,new,,,0.2233,sovereign_telco,peeringdb_candidates.csv
"TM ONE CBJ8, Cyberjaya",Telekom Malaysia Berhad (TM),,,PeeringDB fac 5769,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,tm one cbj8 cyberjaya,True,False,PeeringDB,Telekom Malaysia Berhad (TM),,,,,"Jalan Cyber Point 4, Cyberjaya, 63000",https://www.peeringdb.com/fac/5769,pdb_id=5769 | clli= | region=Asia Pacific | status=ok,,new,,,0.2233,sovereign_telco,peeringdb_candidates.csv
"TM ONE PG1, Penang",Telekom Malaysia Berhad (TM),5.424515,100.325495,PeeringDB fac 5770,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,tm one pg1 penang,True,False,PeeringDB,Telekom Malaysia Berhad (TM),,,source_native,,"39, Jalan Sultan Ahmad Shah, Georgetown, 10050",https://www.peeringdb.com/fac/5770,pdb_id=5770 | clli= | region=Asia Pacific | status=ok,,new,,,0.2833,sovereign_telco,peeringdb_candidates.csv
ModernOne Data Solutions Sdn. Bhd.,ModernOne Data Solutions Sdn. Bhd.,2.977314,101.796223,PeeringDB fac 6018,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,modernone data solutions sdn bhd,True,False,PeeringDB,ModernOne Data Solutions Sdn. Bhd.,,,source_native,,"No 93-2A, Jalan TKS 1,, Kajang, 4000",https://www.peeringdb.com/fac/6018,pdb_id=6018 | clli= | region=Asia Pacific | status=ok,,new,,,0.2833,tier2_colo,peeringdb_candidates.csv
"DANAWA DC, Kuching",Danawa Resources Sdn Bhd,1.51404,110.374811,PeeringDB fac 6488,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,danawa dc kuching,True,False,PeeringDB,Danawa Resources Sdn Bhd,,,source_native,,"Setia Commercial Centre, Kuching, 93350",https://www.peeringdb.com/fac/6488,pdb_id=6488 | clli= | region=Asia Pacific | status=ok,,new,,,0.2833,tier2_colo,peeringdb_candidates.csv
SACOFA Kuching,SACOFA Sdn. Bhd.,1.553771,110.329429,PeeringDB fac 7013,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,sacofa kuching,True,False,PeeringDB,SACOFA Sdn. Bhd.,,,source_native,,"Lot 367, Jalan Satok, Kuching, 93400",https://www.peeringdb.com/fac/7013,pdb_id=7013 | clli= | region=Asia Pacific | status=ok,,new,,,0.2833,tier2_colo,peeringdb_candidates.csv
"TM ONE CBJ2, Cyberjaya",Telekom Malaysia Berhad (TM),,,PeeringDB fac 8711,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,tm one cbj2 cyberjaya,True,False,PeeringDB,Telekom Malaysia Berhad (TM),,,,,"Jalan Lingkaran Fauna, Cyberjaya, 63000",https://www.peeringdb.com/fac/8711,pdb_id=8711 | clli= | region=Asia Pacific | status=ok,,new,,,0.2233,sovereign_telco,peeringdb_candidates.csv
IP ServerOne MYIX-CJ1,IP ServerOne Solutions Sdn Bhd,,,PeeringDB fac 8746,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,ip serverone myix cj1,True,False,PeeringDB,IP ServerOne Solutions Sdn Bhd,,,,,"Jalan Cyber Point 4,, Cyberjaya, 63000",https://www.peeringdb.com/fac/8746,pdb_id=8746 | clli= | region=Asia Pacific | status=ok,,new,,,0.2233,tier2_colo,peeringdb_candidates.csv
Keppel Data Centres | Keppel DC Johor 1,Keppel Data Centres Holding Pte Ltd,,,PeeringDB fac 9747,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,keppel data centres keppel dc johor 1,True,False,PeeringDB,Keppel Data Centres Holding Pte Ltd,,,,,"Sedenak, Kulai, Johor, 0000",https://www.peeringdb.com/fac/9747,pdb_id=9747 | clli= | region=Asia Pacific | status=ok,,new,,,0.2233,tier1_colo,peeringdb_candidates.csv
Open DC JB2 - Menara Ansar,OPEN DC SDN BHD,1.460311,103.76285,PeeringDB fac 11025,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,open dc jb2 menara ansar,True,False,PeeringDB,OPEN DC SDN BHD,,,source_native,,"Menara Ansar, Johor Bahru, 80000",https://www.peeringdb.com/fac/11025,pdb_id=11025 | clli= | region=Asia Pacific | status=ok,,new,,,0.2833,tier2_colo,peeringdb_candidates.csv
MEASAT  DC Cyberjaya,MEASAT Satellite Systems,2.935558,101.65836,PeeringDB fac 11926,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,measat dc cyberjaya,True,False,PeeringDB,MEASAT Satellite Systems,,,source_native,,"Measat Teleport Broadcast Center, Jalan Teknokrat 1/2, Cyberjaya, 63000",https://www.peeringdb.com/fac/11926,pdb_id=11926 | clli= | region=Asia Pacific | status=ok,,new,,,0.2833,tier2_colo,peeringdb_candidates.csv
SAFEHOUSE Data Centre,i-Tech Network Solutions Sdn Bhd,3.165702,101.653155,PeeringDB fac 12537,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,safehouse data centre,True,False,PeeringDB,i-Tech Network Solutions Sdn Bhd,,,source_native,,"Level 31, Menara 1MK, Mont' Kiara, 50480",https://www.peeringdb.com/fac/12537,pdb_id=12537 | clli= | region=Asia Pacific | status=ok,,new,,,0.2833,tier2_colo,peeringdb_candidates.csv
irix Tier IV DC @ Santubong 1,IRIX,,,PeeringDB fac 12841,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,irix tier iv dc santubong 1,True,False,PeeringDB,IRIX,,,,,"Lot 727, Block 3, Salak Land District Jalan Sultan Tengah, Santubong, Kuching, 93010",https://www.peeringdb.com/fac/12841,pdb_id=12841 | clli= | region=Asia Pacific | status=ok,,new,,,0.2233,tier2_colo,peeringdb_candidates.csv
AIMS Cyberjaya,AIMS Data Centre Sdn Bhd,,,PeeringDB fac 13120,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,aims cyberjaya,True,False,PeeringDB,AIMS Data Centre Sdn Bhd,,,,,"Jalan Teknokrat 1/2, Cyber 3, Cyberjaya, 63000",https://www.peeringdb.com/fac/13120,pdb_id=13120 | clli= | region=Asia Pacific | status=ok,,new,,,0.2233,tier2_colo,peeringdb_candidates.csv
Open DC PE1 - Suntech Penang Cybercity,OPEN DC SDN BHD,5.325826,100.286772,PeeringDB fac 14325,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,open dc pe1 suntech penang cybercity,True,False,PeeringDB,OPEN DC SDN BHD,,,source_native,,"Level 12B, Suntech @ Penang Cybercity, Penang, 11950",https://www.peeringdb.com/fac/14325,pdb_id=14325 | clli= | region=Asia Pacific | status=ok,,new,,,0.2833,tier2_colo,peeringdb_candidates.csv
JH1,Princeton Digital Group,1.664183,103.529826,PeeringDB fac 14647,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,jh1,True,False,PeeringDB,Princeton Digital Group,,,source_native,,"No.15, Jalan Digital Utama, Taman Perindustrian Kulai, 81020 Bukit Batu, Johor, 81020",https://www.peeringdb.com/fac/14647,pdb_id=14647 | clli= | region=Asia Pacific | status=ok,,new,,,0.2833,tier1_colo,peeringdb_candidates.csv
STT Johor 1,ST Telemedia Global Data Centres (STT GDC),1.443716,103.611792,PeeringDB fac 14883,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,stt johor 1,True,False,PeeringDB,ST Telemedia Global Data Centres (STT GDC),,,source_native,,"Nusa Cemerlang Industrial Park, Gelang Patah, 81550",https://www.peeringdb.com/fac/14883,pdb_id=14883 | clli= | region=Asia Pacific | status=ok,,new,,,0.2833,tier1_colo,peeringdb_candidates.csv
MY03,Bridge Data Centres,3.045559,101.693271,PeeringDB fac 15718,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,my03,True,False,PeeringDB,Bridge Data Centres,,,source_native,,"No.11,, Kuala Lumpur, 57000",https://www.peeringdb.com/fac/15718,pdb_id=15718 | clli= | region=Asia Pacific | status=ok,,new,,,0.2833,tier1_colo,peeringdb_candidates.csv
MY07,Bridge Data Centres,,,PeeringDB fac 15720,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,my07,True,False,PeeringDB,Bridge Data Centres,,,,,"Johor, Johor, 00000",https://www.peeringdb.com/fac/15720,pdb_id=15720 | clli= | region=Asia Pacific | status=ok,,new,,,0.2233,tier1_colo,peeringdb_candidates.csv
Open DC D8-1 - Bukit Kayu Hitam,OPEN DC SDN BHD,,,PeeringDB fac 16281,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,open dc d8 1 bukit kayu hitam,True,False,PeeringDB,OPEN DC SDN BHD,,,,,"Bukit Kayu Hitam, Bukit Kayu Hitam, 06060",https://www.peeringdb.com/fac/16281,pdb_id=16281 | clli= | region=Asia Pacific | status=ok,,new,,,0.2233,tier2_colo,peeringdb_candidates.csv
NEXTDC KL1,NEXTDC,,,PeeringDB fac 16704,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,nextdc kl1,True,False,PeeringDB,NEXTDC,,,,,"PT250, Jalan 51A/229, Petaling Jaya, 46100",https://www.peeringdb.com/fac/16704,pdb_id=16704 | clli= | region=Asia Pacific | status=ok,,new,,,0.2233,tier2_colo,peeringdb_candidates.csv
BRIDGE DATA CENTRES MALAYSIA SDN BHD (Sepang),BRIDGE DATA CENTRES MALAYSIA SDN BHD,2.6895,101.6993,Energy Commission License,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,bridge data centres malaysia sdn bhd sepang,True,False,Energy Commission License,BRIDGE DATA CENTRES MALAYSIA SDN BHD,,2021.0,geocoded_with_campus_offset,,"LOT PT 12144 DAN PT 12145, MUKIM DENGKIL, DAERAH SEPANG, 63000, SELANGOR",https://www.st.gov.my/stakeholders/electricity/list-of-registered-electricity-industry-professionals-and-licensees/list-public-distribution-licensee?page=5,match=keyword:data | capacity=21.25 | licensed=8 November 2021..8 October 2031,,new,,,0.3133,tier1_colo,st_candidates.csv
UNIVERSITI TELEKOM SDN BHD (Melaka),UNIVERSITI TELEKOM SDN BHD,2.1896,102.2501,Energy Commission License,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,universiti telekom sdn bhd melaka,True,False,Energy Commission License,UNIVERSITI TELEKOM SDN BHD,,2024.0,geocoded_with_campus_offset,,"PT7216, LOT 11662, LOT 11721, LOT 11724 BUKIT BARU MELAKA TENGAH 75450 MELAKA",https://www.st.gov.my/stakeholders/electricity/list-of-registered-electricity-industry-professionals-and-licensees/list-public-distribution-licensee?page=35,match=keyword:telekom | capacity=8.00 | licensed=5 January 2024..5 December 2033,,new,,,0.3133,tier2_colo,st_candidates.csv
